Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3.5,0,0,255,255,255
250,3.5,0,0.039,255,255,255
500,3.5,0,0.1133,255,255,255
750,3.5,0,0.2219,255,255,255
1000,3.5,0,0.364,255,255,255
1250,3.5,0,0.5385,255,255,255
1500,3.5,0,0.7445,255,255,255
1750,3.5,0,0.981,255,255,255
2000,3.5,0,1.2471,255,255,255
2250,3.5,0,1.5418,255,255,255
2500,3.5,0,1.8642,255,255,255
2750,3.5,0,2.2132,255,255,255
3000,3.5,0,2.588,255,255,255
3250,3.5,0,2.9876,255,255,255
3500,3.5,0,3.411,255,255,255
3750,3.5,0,3.8558,255,255,255
4000,3.5,0,4.3192,255,255,255
4250,3.5,0,4.7996,255,255,255
4500,3.5,0,5.2953,255,255,255
4750,3.5,0,5.8049,255,255,255
5000,3.5,0,6.3266,255,255,255
5250,3.5,0,6.859,255,255,255
5500,3.5,0,7.4004,255,255,255
5750,3.5,0,7.9492,255,255,255
6000,3.5,0,8.5039,255,255,255
6250,3.5,0,9.0628,255,255,255
6500,3.5,0,9.6244,255,255,255
6750,3.5,0,10.1871,255,255,255
7000,3.5,0,10.7492,255,255,255
7250,3.5,0,11.3093,255,255,255
7500,3.5,0,11.8656,255,255,255
7750,3.5,0,12.4166,255,255,255
8000,3.5,0,12.9608,255,255,255
8250,3.5,0,13.4965,255,255,255
8500,3.5,0,14.0221,255,255,255
8750,3.5,0,14.536,255,255,255
9000,3.5,0,15.0368,255,255,255
9250,3.5,0,15.5226,255,255,255
9500,3.5,0,15.9921,255,255,255
9750,3.5,0,16.4435,255,255,255
10000,3.5,0,16.8754,255,255,255
10250,3.5,0,17.286,255,255,255
10500,3.5,0,17.6721,255,255,255
10750,3.5,0,18.031,255,255,255
11000,3.5,0,18.3621,255,255,255
11250,3.5,0,18.6646,255,255,255
11500,3.5,0,18.9381,255,255,255
11750,3.5,0,19.1817,255,255,255
12000,3.5,0,19.395,255,255,255
12250,3.5,0,19.5772,255,255,255
12500,3.5,0,19.7277,255,255,255
12750,3.5,0,19.8459,255,255,255
13000,3.5,0,19.9311,255,255,255
13250,3.5,0,19.9827,255,255,255
13500,3.5,0,20,255,255,255
13750,3.5,0,20,255,255,255
14000,3.5,0,20,255,255,255
14250,3.5,0,20,255,255,255
14500,3.5,0,20,255,255,255
14750,3.5,0,20,255,255,255
15000,3.5,0,20,255,255,255
15250,3.5,0,20,255,255,255
15500,3.5,0,20,255,255,255
15750,3.5,0,20,255,255,255
16000,3.5,0,20,255,255,255
16250,3.5,0,20,255,255,255
16500,3.5,0,20,255,255,255
16750,3.5,0,20,255,255,255
17000,3.5,0,20,255,255,255
17250,3.5,0,20,255,255,255
17500,3.5,0,20,255,255,255
17750,3.5,0,20,255,255,255
18000,3.5,0,20,255,255,255
18250,3.5,0,20,255,255,255
18500,3.5,0,20,255,255,255
18750,3.5,0,20,255,255,255
19000,3.5,0,20,255,255,255
19250,3.5,0,20,255,255,255
19500,3.5,0,20,255,255,255
19750,3.5,0,20,255,255,255
20000,3.5,0,20,255,255,255
20250,3.5,0,20,255,255,255
20500,3.5,0,20,255,255,255
20750,3.5,0,20,255,255,255
21000,3.5,0,20,255,255,255
21250,3.5,0,20,255,255,255
21500,3.5,0,20,255,255,255
21750,3.5,0,20,255,255,255
22000,3.5,0,20,255,255,255
22250,3.5,0,20,255,255,255
22500,3.5,0,20,255,255,255
22750,3.5,0,20,255,255,255
23000,3.5,0,20,255,255,255
23250,3.5,0,20,255,255,255
23500,3.5,0,20,255,255,255
